step,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,f2_mean,f2_std,f2_ci_lower,f2_ci_upper
13,0.46885602335617554,0.2478461248550522,0.3763087593635848,0.5614032873487662,0.3706093375496136,0.2847732908634821,0.26427324315639006,0.4769454319428372
14,0.5301853634315595,0.20296771683936152,0.4543959723999616,0.6059747544631574,0.40178224792287115,0.29700763818448944,0.2908777731607534,0.5126867226849888
15,0.5967600898083023,0.19553784766594307,0.5237450575213687,0.6697751220952359,0.4131563164946759,0.27139122595170695,0.31181716726200437,0.5144954657273474
16,0.6428734001056575,0.2176233970440198,0.561611488147276,0.724135312064039,0.42186768539143593,0.2666100997367386,0.32231383802804864,0.5214215327548232
17,0.6517112134820399,0.23494345825598506,0.5639818843780846,0.7394405425859951,0.4574802166747673,0.26015168442049824,0.3603379812241967,0.5546224521253379
18,0.683755423458371,0.2395414944308793,0.5943091594296745,0.7732016874870675,0.48511925807820194,0.25535718488007625,0.3897673181787088,0.5804711979776951
19,0.6998931870089827,0.23696591109236512,0.6114086616046193,0.7883777124133462,0.5178522626108848,0.28842274621631236,0.4101534391930897,0.6255510860286799
20,0.7054172539164447,0.21166102548278012,0.6263817280886621,0.7844527797442273,0.5249358300094081,0.289385544324098,0.4168774918697068,0.6329941681491095
21,0.7310623973278644,0.22525756151027104,0.646949841508764,0.8151749531469648,0.5557344373972669,0.26540352588849914,0.4566311321132641,0.6548377426812697
22,0.7471755903362628,0.2101160108494704,0.6687169824539391,0.8256341982185865,0.5541498967980272,0.27093155655529605,0.4529823909388554,0.655317402657199
23,0.7604991450476825,0.22308514910605734,0.6771977813518849,0.84380050874348,0.5925126088002349,0.25770273321763504,0.49628482675743457,0.6887403908430353
24,0.7969676631734062,0.20307059800459445,0.7211398556833535,0.8727954706634589,0.6247732554464734,0.2513120714185427,0.5309317857373997,0.7186147251555471
25,0.7977436358570197,0.1987557716602235,0.7235270110030005,0.8719602607110388,0.6568442047965452,0.24004874907333082,0.5672085287714582,0.7464798808216321
26,0.8165541601258505,0.20276949551067922,0.7408387861548189,0.892269534096882,0.6728141492055654,0.22584738819031275,0.5884813484845137,0.757146949926617
27,0.8148435109391611,0.20313084796978428,0.738993205742367,0.8906938161359551,0.6768371921015555,0.22883124309803532,0.5913902016467645,0.7622841825563464
28,0.8268003362866996,0.19831206878125318,0.7527493928105853,0.9008512797628139,0.7072415523053326,0.2161690390208714,0.626522706557838,0.7879603980528271
29,0.8698231585580269,0.14857911600680487,0.8143428048469924,0.9253035122690615,0.7031339211718067,0.21237198979609728,0.6238329169064154,0.7824349254371981
30,0.8756298598032847,0.1441109193400553,0.8218179581478565,0.9294417614587128,0.6942556639749125,0.2188616290068904,0.612531388602865,0.7759799393469599
31,0.8844379019066587,0.15313706197653204,0.8272555831995162,0.9416202206138012,0.7124755871581309,0.2181898346163959,0.6310021639341338,0.793949010382128
32,0.9039308269621302,0.11469684445785225,0.8611023213747789,0.9467593325494815,0.7486808756519719,0.2012757858119204,0.6735232620489919,0.823838489254952
33,0.9116983299613108,0.10153573676240842,0.8737842627539725,0.9496123971686492,0.743480774330255,0.2163248198893232,0.662703759050491,0.8242577896100189
34,0.9324108234872662,0.09194053225733112,0.8980796645255728,0.9667419824489597,0.7731842151052875,0.20278970143189876,0.6974612961192737,0.8489071340913013
35,0.9361575623073218,0.07467856133174454,0.9082721292217822,0.9640429953928614,0.7929198229483767,0.1993179348259741,0.718493282918407,0.8673463629783464
36,0.9433488800755687,0.07954336853452562,0.9136468981263657,0.9730508620247718,0.7794791654419131,0.20625263105645505,0.7024631672829285,0.8564951636008977
37,0.9565588789523236,0.05368198357914761,0.9365136968505223,0.9766040610541249,0.7794827867387311,0.20273005870086055,0.7037821387144999,0.8551834347629622
38,0.957139885288382,0.05470136861218378,0.9367140585595257,0.9775657120172383,0.8001882905241888,0.2044776956781347,0.7238350641278182,0.8765415169205595
39,0.9453783099932644,0.05084913520767931,0.9263909308578746,0.9643656891286543,0.7926719864434119,0.18721388598914457,0.7227651725287341,0.8625788003580896
40,0.940857039075601,0.05856333031764343,0.9189891321460013,0.9627249460052008,0.7934495350432959,0.1887933131899219,0.7229529533192851,0.8639461167673066
41,0.9377292680831558,0.06940276886174399,0.9118138482821766,0.963644687884135,0.7798014790436162,0.1932978603566657,0.707622871764227,0.8519800863230054
42,0.9447681971978746,0.06987697527889922,0.9186757058106396,0.9708606885851097,0.7808446452049953,0.19660149378159575,0.707432440931138,0.8542568494788526
