step,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,f1_median,f2_mean,f2_std,f2_ci_lower,f2_ci_upper,f2_median,fitness_diff
18,8.546666666666665,0.9088580684054838,8.207293486481944,8.886039846851386,8.55,8.419999999999998,0.8829417913410552,8.090304116713058,8.749695883286938,8.25,0.12666666666666693
19,9.033333333333333,0.9311962396732545,8.685618942913274,9.381047723753392,9.05,8.889999999999999,0.900708533360801,8.553669906212688,9.22633009378731,9.000000000000002,0.14333333333333442
20,9.523333333333332,0.8900535951833747,9.19098185884825,9.855684807818413,9.600000000000001,9.313333333333334,0.8950951917527263,8.979099295750197,9.647567370916471,9.200000000000001,0.2099999999999973
21,9.983333333333333,0.9210501253098735,9.639407564280809,10.327259102385856,10.0,9.756666666666664,0.9309555096348805,9.409042166320235,10.104291167013093,9.649999999999999,0.22666666666666835
22,10.496666666666666,0.9151910798536436,10.154928701143044,10.838404632190288,10.350000000000001,10.236666666666668,0.9960208186902357,9.864746380628908,10.608586952704428,10.3,0.259999999999998
23,10.976666666666667,0.8834428472560157,10.646783686026222,11.306549647307111,11.0,10.726666666666665,0.9958303876260955,10.354817488756883,11.098515844576447,10.7,0.2500000000000018
24,11.449999999999998,0.895486768034089,11.115619745430392,11.784380254569603,11.450000000000001,11.120000000000001,1.0400265248606848,10.73164771322582,11.508352286774182,11.199999999999998,0.3299999999999965
25,11.856666666666667,0.9197763346309398,11.513216538870603,12.200116794462732,11.750000000000002,11.593333333333332,1.0322166751064503,11.207897292384542,11.978769374282122,11.75,0.2633333333333354
26,12.33666666666667,0.9367895775699463,11.986863689551024,12.686469643782315,12.25,12.019999999999998,1.035707321192823,11.633260530381305,12.40673946961869,12.0,0.31666666666667176
27,12.876666666666665,0.9915794900346979,12.506404800004242,13.246928533329088,12.799999999999999,12.503333333333332,1.1469549891457975,12.075053301800972,12.931613364865692,12.649999999999999,0.3733333333333331
28,13.24666666666667,1.0030069733086342,12.872137707622057,13.621195625711282,13.3,12.976666666666667,1.097232673697737,12.566953252856434,13.386380080476899,13.05,0.2700000000000031
29,13.806666666666668,0.9801243177071569,13.440682231648971,14.172651101684366,13.899999999999999,13.519999999999998,1.0675140312410656,13.121383709659206,13.91861629034079,13.650000000000002,0.2866666666666706
30,14.216666666666663,0.9681419578629537,13.855156518347634,14.578176814985692,14.100000000000001,13.99333333333333,1.1590523279173264,13.560536081265239,14.426130585401422,14.149999999999999,0.22333333333333272
31,14.719999999999999,1.0046100633132964,14.34487243730987,15.095127562690127,14.75,14.433333333333332,1.227931631628578,13.974816126563834,14.89185054010283,14.400000000000002,0.28666666666666707
32,15.17333333333334,1.0129960116112156,14.795074406086233,15.551592260580446,15.05,14.85333333333333,1.22635803213764,14.395403718270549,15.311262948396111,14.999999999999996,0.32000000000000917
33,15.639999999999999,1.057844262053078,15.244994460815036,16.03500553918496,15.5,15.309999999999999,1.1654065444269237,14.874830044492935,15.745169955507063,15.2,0.33000000000000007
34,16.16666666666667,1.0127917487997133,15.78848401240689,16.544849320926453,16.0,15.743333333333332,1.1950135862258504,15.297107926727294,16.18955873993937,15.700000000000001,0.4233333333333391
