step,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,f2_mean,f2_std,f2_ci_lower,f2_ci_upper
13,0.5353779227751426,0.23439308297219866,0.44785410717967317,0.6229017383706121,0.41189735145247386,0.2721228162243191,0.31028502192241647,0.5135096809825312
14,0.5876115394471735,0.22293585526723372,0.5043659229869728,0.6708571559073742,0.4773260353675684,0.28436699628584006,0.37114165386296794,0.5835104168721689
15,0.6295302837017863,0.18381532805873374,0.5608925121744518,0.6981680552291208,0.4709903343644702,0.28821663321223806,0.3633684748072621,0.5786121939216783
16,0.6950623681184396,0.19908226224810333,0.6207238296753124,0.7694009065615668,0.5049024158408277,0.27949005994248816,0.40053911229541345,0.609265719386242
17,0.6949479488149579,0.2104972596141162,0.616346980304284,0.7735489173256318,0.5395232418506882,0.2684889409934493,0.43926782363205086,0.6397786600693256
18,0.7409415483386541,0.2239921924614664,0.6573014890876412,0.824581607589667,0.5674900018993547,0.2614958420921986,0.4698458497254007,0.6651341540733087
19,0.7507780290987915,0.19351919460369787,0.6785167742532858,0.8230392839442973,0.5945837223270349,0.2635814292828538,0.49616079909734623,0.6930066455567236
20,0.7722127313739251,0.18860367905433517,0.7017869601998812,0.842638502547969,0.5988032542452292,0.26419482540733874,0.5001512851383941,0.6974552233520642
21,0.8200010612445134,0.17595341169573753,0.7542989775338006,0.8857031449552263,0.6460292206401941,0.24182630354341253,0.5557297948675568,0.7363286464128314
22,0.8163638350179097,0.18409690554547095,0.7476209207290545,0.8851067493067648,0.6542717456701163,0.2395829073649492,0.5648100177976969,0.7437334735425356
23,0.8421166871655863,0.18116610669485833,0.7744681511531535,0.9097652231780191,0.6881040353239751,0.2303052725573077,0.6021066332233296,0.7741014374246207
24,0.8636830717182781,0.17459809724223885,0.7984870707417386,0.9288790726948175,0.719390761947288,0.19561967664149518,0.6463451742187186,0.7924363496758574
25,0.8658185688237235,0.17597163754729242,0.8001096794681924,0.9315274581792546,0.7617134279735248,0.2048341854879795,0.6852270860944664,0.8381997698525833
26,0.8827551669276946,0.13891285239361187,0.8308842553693478,0.9346260784860414,0.7720718708633001,0.19670315780569464,0.6986217046189568,0.8455220371076434
27,0.9020046600684359,0.13100443421131902,0.8530868003914066,0.9509225197454653,0.7714746179924205,0.20079001466230517,0.6964983943177668,0.8464508416670741
28,0.9146651824955044,0.10698468842831829,0.8747164432972171,0.9546139216937918,0.7907121095107112,0.1871519156716653,0.720828435692877,0.8605957833285455
29,0.9388577713510325,0.07419448693143521,0.9111530946172159,0.9665624480848491,0.7936234736266695,0.19692290753167532,0.7200912514860941,0.8671556957672449
30,0.92933624191906,0.08903494785204018,0.8960900460051707,0.9625824378329492,0.7869022470499464,0.20207301716960827,0.7114469423655898,0.862357551734303
31,0.9369671154880692,0.07219130412803024,0.9100104395060924,0.963923791470046,0.7971905202061845,0.20036463509826682,0.7223731358711943,0.8720079045411747
32,0.9394453232430333,0.08552941923248418,0.9075081132282674,0.9713825332577992,0.8228531404590143,0.19066176283673264,0.7516588681706609,0.8940474127473677
33,0.9507154644311908,0.0618702784234998,0.9276127227849237,0.973818206077458,0.8096959824091504,0.20375081208324852,0.733614178807819,0.8857777860104818
34,0.9558285479850017,0.07015977713820064,0.9296304566480169,0.9820266393219865,0.8358252716164938,0.18471528402471354,0.7668514510086504,0.9047990922243372
35,0.9463388345389833,0.07338880705415353,0.9189350036156062,0.9737426654623603,0.8451280918634974,0.17363026714908794,0.7802934845830796,0.9099626991439151
36,0.9489946707630372,0.08379180011329258,0.9177062983907257,0.9802830431353488,0.831485502079348,0.17274577145301268,0.7669811709197809,0.8959898332389151
37,0.955092220630944,0.06397329367946494,0.9312042001824037,0.9789802410794843,0.8308879122505279,0.1793321874038524,0.7639241729556758,0.89785165154538
38,0.9565949212905612,0.057346074368530196,0.9351815452023656,0.9780082973787568,0.8468551739019963,0.18009970637539777,0.7796048383130909,0.9141055094909016
39,0.9494313928095853,0.06753877783469728,0.9242119986969675,0.9746507869222032,0.8441269966414592,0.16712430969329345,0.7817217538005222,0.9065322394823961
40,0.9545948966054592,0.04896138417661706,0.9363124152897394,0.9728773779211789,0.842254438088991,0.18389857344406754,0.773585582223916,0.910923293954066
41,0.9515917589143099,0.0512291111799251,0.9324624944190629,0.9707210234095569,0.856054212543543,0.15684321994667275,0.7974879917065549,0.914620433380531
42,0.9578103026670367,0.05363802835425558,0.9377815337159527,0.9778390716181207,0.8427042225688768,0.15925681464128366,0.7832367506612743,0.9021716944764793
