param1_name,param1_value,param2_name,param2_value,params,f1_mean_fitness,f2_mean_fitness,fitness_diff,f1_ci_lower,f1_ci_upper,f2_ci_lower,f2_ci_upper,f1_win_rate,ci_overlap
selection_strength,0.0,steepness,1.5,"{'selection_strength': 0.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 1.5}",141.34500000000003,136.27,5.075000000000017,139.65915800259955,143.0308419974005,134.21925799740293,138.3207420025971,0.85,False
selection_strength,0.5,steepness,0.1,"{'selection_strength': 0.5, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.1}",139.78000000000003,138.17499999999998,1.6050000000000466,138.05922575567462,141.50077424432544,136.078075814076,140.27192418592398,0.6,True
selection_strength,0.5,steepness,0.4,"{'selection_strength': 0.5, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.4}",139.90000000000003,137.83499999999998,2.0650000000000546,138.27179692262285,141.5282030773772,135.92241290428782,139.74758709571213,0.7,True
selection_strength,0.5,steepness,0.8,"{'selection_strength': 0.5, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.8}",140.75500000000005,138.08499999999998,2.6700000000000728,139.1095081603434,142.4004918396567,136.13114716168414,140.03885283831582,0.75,True
selection_strength,0.5,steepness,1.5,"{'selection_strength': 0.5, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 1.5}",140.69,138.09,2.5999999999999943,139.01235482361162,142.36764517638838,136.24743169597983,139.93256830402018,0.85,True
selection_strength,1.0,steepness,0.1,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.1}",140.675,139.71499999999997,0.9600000000000364,138.63554474693345,142.71445525306657,137.58256440045,141.84743559954995,0.65,True
selection_strength,1.0,steepness,0.4,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.4}",140.60500000000002,139.16999999999996,1.4350000000000591,138.33476956040053,142.8752304395995,137.23542855172818,141.10457144827174,0.7,True
selection_strength,1.0,steepness,0.8,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.8}",140.98000000000005,139.015,1.9650000000000603,138.78111332598553,143.17888667401456,137.31019943166658,140.7198005683334,0.65,True
selection_strength,1.0,steepness,1.5,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 1.5}",141.26500000000004,139.275,1.9900000000000375,139.24963153053866,143.28036846946142,137.5061730659286,141.0438269340714,0.65,True
selection_strength,2.0,steepness,0.1,"{'selection_strength': 2.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.1}",139.55,140.39999999999995,-0.8499999999999375,137.58389967907632,141.5161003209237,138.23709002964432,142.56290997035558,0.45,True
selection_strength,2.0,steepness,0.4,"{'selection_strength': 2.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.4}",139.275,140.26499999999993,-0.9899999999999238,137.29212095400837,141.25787904599164,138.06807106676817,142.4619289332317,0.45,True
selection_strength,2.0,steepness,0.8,"{'selection_strength': 2.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.8}",139.07500000000002,140.16499999999994,-1.0899999999999181,137.12376864686397,141.02623135313607,138.11875029667345,142.21124970332642,0.45,True
selection_strength,2.0,steepness,1.5,"{'selection_strength': 2.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 1.5}",138.98500000000004,140.04999999999995,-1.0649999999999125,137.0399584545373,140.93004154546279,137.91085913988488,142.18914086011503,0.4,True
memory_decay,0.8,memory_growth,0.5,"{'selection_strength': 1.0, 'memory_decay': 0.8, 'memory_growth': 0.5, 'steepness': 0.6}",138.62500000000009,138.94500000000005,-0.31999999999996476,136.92428873553345,140.32571126446672,136.5957102278007,141.2942897721994,0.55,True
memory_decay,0.8,memory_growth,1.0,"{'selection_strength': 1.0, 'memory_decay': 0.8, 'memory_growth': 1.0, 'steepness': 0.6}",138.38000000000008,138.67500000000004,-0.2949999999999591,136.82113149237398,139.93886850762618,136.7196962302963,140.63030376970377,0.6,True
memory_decay,0.8,memory_growth,1.5,"{'selection_strength': 1.0, 'memory_decay': 0.8, 'memory_growth': 1.5, 'steepness': 0.6}",139.36000000000007,139.16500000000002,0.19500000000005002,137.64386805623155,141.0761319437686,137.06042595513765,141.2695740448624,0.6,True
