param_name,param_value,f1_mean_fitness,f2_mean_fitness,f1_std_fitness,f2_std_fitness,f1_ci_lower,f1_ci_upper,f2_ci_lower,f2_ci_upper,f1_win_rate,f2_win_rate,tie_rate,f1_mean_lambda,f2_mean_lambda,ci_overlap,runtime_s,selection_strength,memory_decay,memory_growth,steepness
memory_decay,0.97,141.322,138.92799999999994,4.022959109909025,4.045912020995086,140.17868767117596,142.46531232882404,137.77816452602076,140.07783547397912,0.72,0.28,0.0,0.9831633024029621,0.9645067666878565,False,1.540900468826294,1.0,0.97,1.5,0.6
memory_decay,0.99,140.914,138.72199999999995,4.1370900746435595,4.080780737625007,139.7382520098837,142.08974799011628,137.56225494639938,139.88174505360053,0.66,0.34,0.0,0.9954082711746212,0.9927540734751696,True,1.5214848518371582,1.0,0.99,1.5,0.6
memory_growth,0.5,140.18000000000006,139.19200000000004,3.887604582227343,3.8839197536845607,139.07515500232026,141.28484499767987,138.08820221900513,140.29579778099495,0.7,0.3,0.0,0.4915739566203954,0.28653246108122377,True,1.5296940803527832,1.0,0.95,0.5,0.6
memory_growth,0.8,140.178,138.17399999999998,4.215486027610527,4.3436939983175815,138.9799721265669,141.3760278734331,136.93953582444246,139.4084641755575,0.7,0.3,0.0,0.8363892620466205,0.5601232140784351,True,1.5092113018035889,1.0,0.95,0.8,0.6
memory_growth,1.0,140.202,138.432,4.295203304684363,3.8996828756466924,138.98131672709383,141.42268327290617,137.32372238931066,139.54027761068932,0.66,0.34,0.0,0.9188319457937439,0.7224726675733047,True,1.5121502876281738,1.0,0.95,1.0,0.6
memory_growth,1.2,140.84800000000007,138.85599999999994,4.131474016742743,4.148476976492658,139.67384807587948,142.02215192412066,137.6770158881843,140.0349841118156,0.72,0.28,0.0,0.9437161924808961,0.8125105386708023,True,1.5663063526153564,1.0,0.95,1.2,0.6
memory_growth,1.5,140.83999999999997,138.53999999999996,4.315420853503999,3.7976362143215363,139.61357096329343,142.06642903670652,137.46072372957306,139.61927627042687,0.74,0.26,0.0,0.961987910276987,0.8817336043451144,True,1.5931200981140137,1.0,0.95,1.5,0.6
memory_growth,2.0,141.078,138.78599999999997,4.012342691938346,3.876302151193427,139.93770482377985,142.21829517622015,137.68436711767947,139.88763288232047,0.72,0.28,0.0,0.9667531457973177,0.9193410027277846,False,1.533308744430542,1.0,0.95,2.0,0.6
memory_growth,2.5,141.10800000000006,138.83599999999996,3.975837224114321,3.9528734059245,139.9780795629439,142.23792043705623,137.71260580786353,139.9593941921364,0.74,0.26,0.0,0.9672615047711065,0.9310262150424283,False,1.5299594402313232,1.0,0.95,2.5,0.6
steepness,0.1,140.982,139.25599999999994,4.145747267762856,4.180721546941521,139.8037916628218,142.1602083371782,138.06785208265592,140.44414791734397,0.76,0.24,0.0,0.9193086861504858,0.8279938180720512,True,1.519576072692871,1.0,0.95,1.5,0.1
steepness,0.2,141.054,139.2199999999999,4.23142808912893,4.1640345427805,139.85144144281327,142.25655855718674,138.03659447676608,140.40340552323374,0.78,0.22,0.0,0.9249029766590675,0.8345009924876514,True,1.5180902481079102,1.0,0.95,1.5,0.2
steepness,0.4,141.09400000000002,139.04599999999994,4.349309586308038,4.014220131645244,139.85793989199385,142.3300601080062,137.9051712613187,140.18682873868116,0.76,0.24,0.0,0.9438862744659438,0.8563646743991239,True,1.541964054107666,1.0,0.95,1.5,0.4
steepness,0.6,140.83999999999997,138.53999999999996,4.315420853503999,3.7976362143215363,139.61357096329343,142.06642903670652,137.46072372957306,139.61927627042687,0.74,0.26,0.0,0.961987910276987,0.8817336043451144,True,1.5420289039611816,1.0,0.95,1.5,0.6
steepness,0.8,141.33,138.72199999999998,4.156786926343523,4.046176829894537,140.14865422656743,142.5113457734326,137.57208926816426,139.8719107318357,0.7,0.3,0.0,0.9759743107808653,0.9080955290677466,False,1.5405652523040771,1.0,0.95,1.5,0.8
steepness,1.0,141.204,138.63400000000001,3.9806655171194243,3.9234829383274805,140.07270737725437,142.33529262274564,137.5189584863362,139.74904151366383,0.72,0.28,0.0,0.9853894329824914,0.9287833121572622,False,1.515665054321289,1.0,0.95,1.5,1.0
steepness,1.5,141.30800000000002,138.73799999999997,4.084507314230199,3.9648398583096234,140.14719586504648,142.46880413495356,137.61120497972425,139.8647950202757,0.76,0.24,0.0,0.995741676852284,0.9539027578322056,False,1.6580073833465576,1.0,0.95,1.5,1.5
